	CCMD34381688ST-21-0_erectale.tsv	G78505_erectale.tsv	G88884_erectale.tsv	G88970_erectale.tsv	G89027_erectale.tsv	H2M514903_erectale.tsv	HD-1_erectale.tsv	T2D-063_erectale.tsv	T2D-105_erectale.tsv
UniRef90_A0A0M6WRA3	1	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WRA8	1	1	0	1	1	1	0	0	0
UniRef90_A0A0M6WRC9	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WRF6	0	1	1	0	0	0	1	0	0
UniRef90_A0A0M6WRL6	1	0	1	0	0	1	0	1	0
UniRef90_A0A0M6WRN4	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WRP4	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WRW4	0	0	0	1	0	0	0	0	0
UniRef90_A0A0M6WRY7	1	1	1	1	0	0	0	1	0
UniRef90_A0A0M6WS05	1	0	1	1	0	1	0	1	0
UniRef90_A0A0M6WS32	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WS40	0	1	1	0	0	0	0	0	0
UniRef90_A0A0M6WS54	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSA7	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WSC5	1	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WSD0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSF6	1	1	1	1	1	0	0	1	1
UniRef90_A0A0M6WSK0	0	1	0	0	0	1	1	1	1
UniRef90_A0A0M6WSK2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSM2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSM6	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WSP8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSR1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSR3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSR4	0	0	1	0	0	1	0	0	0
UniRef90_A0A0M6WSU3	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WSU7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSW8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSX1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WSZ1	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WT24	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WT90	0	1	1	1	0	0	0	0	0
UniRef90_A0A0M6WTE8	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WTG7	0	0	1	0	0	1	1	0	1
UniRef90_A0A0M6WTH2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WTI0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WTI7	1	0	1	0	1	0	0	0	0
UniRef90_A0A0M6WTI9	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WTJ3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WTJ5	0	1	1	0	1	0	0	1	0
UniRef90_A0A0M6WTK0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WTN1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WTV1	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WTV9	0	1	1	0	0	0	0	1	0
UniRef90_A0A0M6WTZ4	1	1	1	1	1	1	0	1	0
UniRef90_A0A0M6WU08	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WU42	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WU53	1	0	0	1	1	1	0	1	1
UniRef90_A0A0M6WU62	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WU79	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WU97	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WUF4	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WUF9	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WUG0	0	0	1	1	0	1	0	1	0
UniRef90_A0A0M6WUG3	0	0	0	0	0	1	0	1	1
